Owner,State,County,Country_Code,Acres,Acq_Year,Lat,Lng,Miles_Away,Nearest_Base,Base_Type,China_Flag,Iran_Flag,Russia_Flag,NK_Flag
HTFF Reit Inc,Alabama,Shelby,998 - NO FOREIGN INVESTOR LISTED,3665.0,2018.0,33.2643,-86.6607,20.8,"Maxwell AFB, AL",Air Force,,,,
"Kingfisher Timber, LLC",Florida,Santa Rosa,999 - NO PREDOMINANT COUNTRY CODE,3393.87,2017.0,30.7004,-87.0219,21.5,"NAS Pensacola, FL",Navy,,,,
"Kingfisher Timber, LLC",Florida,Santa Rosa,999 - NO PREDOMINANT COUNTRY CODE,640.03,2019.0,30.7004,-87.0219,21.5,"NAS Pensacola, FL",Navy,,,,
"ISE Realty Group, Inc.",Maryland,Kent,998 - NO FOREIGN INVESTOR LISTED,296.0,2021.0,39.2556,-76.039,22.1,"Aberdeen Proving Ground, MD",Navy,,,,
"ISE Realty Group, Inc.",Maryland,Kent,998 - NO FOREIGN INVESTOR LISTED,259.0,2021.0,39.2556,-76.039,22.1,"Aberdeen Proving Ground, MD",Navy,,,,
"ISE Realty Group, Inc.",Maryland,Kent,998 - NO FOREIGN INVESTOR LISTED,185.0,2021.0,39.2556,-76.039,22.1,"Aberdeen Proving Ground, MD",Navy,,,,
"ISE Realty Group, Inc.",Maryland,Kent,998 - NO FOREIGN INVESTOR LISTED,51.0,2021.0,39.2556,-76.039,22.1,"Aberdeen Proving Ground, MD",Navy,,,,
WEYERHAEUSER-VICWOOD PARTNERSHIP,Washington,Thurston,998 - NO FOREIGN INVESTOR LISTED,1153.0,1990.0,46.9256,-122.8333,22.7,"Joint Base Lewis-McChord, WA",Army,,,,
"Tanager Timber, LLC",Virginia,Mathews,999 - NO PREDOMINANT COUNTRY CODE,1303.31,2014.0,37.4353,-76.3438,24.3,"Langley AFB, VA",Air Force,,,,
"Anson Solar Center, LLC",Texas,Jones,998 - NO FOREIGN INVESTOR LISTED,422.0,2019.0,32.7399,-99.8788,24.7,"Dyess AFB, TX",Air Force,,,,
"Anson Solar Center, LLC",Texas,Jones,998 - NO FOREIGN INVESTOR LISTED,331.0,2019.0,32.7399,-99.8788,24.7,"Dyess AFB, TX",Air Force,,,,
"Anson Solar Center, LLC",Texas,Jones,998 - NO FOREIGN INVESTOR LISTED,327.0,2019.0,32.7399,-99.8788,24.7,"Dyess AFB, TX",Air Force,,,,
